date_start,date_stop,spend,impressions,reach,frequency,cpm,clicks,ctr,inline_link_clicks,age,gender,purchases,purchase_value,checkouts_initiated,purchase_roas,cpc,inline_link_click_ctr,cpa,cvr
2025-11-30,2025-11-30,512.671968,9340,5828,1.602608,54.889932,458,4.90364,381,45-54,female,14.0,611.43,,1.192634,1.119371,4.079229,36.61942628571428,0.03674540682414698
2025-11-30,2025-11-30,39.757132,816,534,1.52809,48.721976,26,3.186275,23,45-54,male,1.0,27.93,,0.702515,1.52912,2.818627,39.757132,0.043478260869565216
2025-11-30,2025-11-30,1.780319,51,27,1.888889,34.908223,3,5.882353,3,45-54,unknown,,,,,0.59344,5.882353,,
2025-11-30,2025-11-30,568.31195,9750,6376,1.529172,58.288405,582,5.969231,492,55-64,female,22.0,788.86,,1.388076,0.976481,5.046154,25.832361363636366,0.044715447154471545
2025-11-30,2025-11-30,49.608899,937,516,1.815891,52.944396,31,3.308431,26,55-64,male,3.0,61.91,,1.247962,1.600287,2.774813,16.536299666666668,0.11538461538461539
2025-11-30,2025-11-30,6.651193,82,48,1.708333,81.112112,2,2.439024,2,55-64,unknown,,,,,3.325597,2.439024,,
2025-11-30,2025-11-30,238.552794,4259,2765,1.540326,56.011457,246,5.776004,209,65+,female,8.0,217.13,,0.910197,0.969727,4.907255,29.81909925,0.03827751196172249
2025-11-30,2025-11-30,22.914111,412,241,1.709544,55.616773,15,3.640777,12,65+,male,,,,,1.527607,2.912621,,
2025-11-30,2025-11-30,1.830328,34,27,1.259259,53.833187,1,2.941176,0,65+,unknown,,,,,1.830328,,,
2025-12-01,2025-12-01,5.889104,98,59,1.661017,60.092894,1,1.020408,1,18-24,female,,,,,5.889104,1.020408,,
2025-12-01,2025-12-01,0.679897,20,13,1.538462,33.994826,0,0.0,0,18-24,male,,,,,,,,
2025-12-01,2025-12-01,0.009998,1,1,1.0,9.998478,0,0.0,0,18-24,unknown,,,,,,,,
2025-12-01,2025-12-01,30.705326,754,428,1.761682,40.723244,17,2.254642,13,25-34,female,3.0,143.64,,4.678016,1.806196,1.724138,10.235108666666667,0.23076923076923078
2025-12-01,2025-12-01,6.778968,182,83,2.192771,37.247078,4,2.197802,4,25-34,male,1.0,101.94,,15.037687,1.694742,2.197802,6.778968,0.25
